context_3,context_2,context_1,response
Всех с 8 марта❤️,спасибо🥹,"Здравствуйте, фоток все ещё нет (","Спасибо, за фото, очень крутые!!!❤️"
,,,когда будут полная таблица с баллами
,,когда будут полная таблица с баллами,"@dmitry_kutsenko подскажешь, когда публикуются протоколы и где их искать?"
,,+++,"Коллеги, итоговый протокол в сообщение выше."
,,,"Добрый вечер! Подскажите, пожалуйста, а когда в личном кабинете и на сайте рсош появятся дипломы призеров?  На платформе Талант достижение ""призер"" есть, но открывается диплом финалиста"
,,"Добрый вечер! Подскажите, пожалуйста, а когда в личном кабинете и на сайте рсош появятся дипломы призеров?  На платформе Талант достижение ""призер"" есть, но открывается диплом финалиста","Никита, добрый вечер.
В личном кабинете должен быть только диплом финалиста. Диплом призёра или победителя участники получают на финале в бумажном виде.
Точные сроки появления дипломов на сайте РСОШ неизвестны, к сожалению. Каждый год ориентируемся на июнь."
,,,"После 20 июня, как-то так"
,,,"Ребят, стало интересно кто из призеров/победителей куда поступает, если не секрет можете написать свой выбор? Я в МИСИС на при. мат. собираюсь"
,,"Ребят, стало интересно кто из призеров/победителей куда поступает, если не секрет можете написать свой выбор? Я в МИСИС на при. мат. собираюсь",падии в СПБ вшэ (да я вылечу после первого сема но я смелый)
,"Ребят, стало интересно кто из призеров/победителей куда поступает, если не секрет можете написать свой выбор? Я в МИСИС на при. мат. собираюсь",падии в СПБ вшэ (да я вылечу после первого сема но я смелый),Мужик
,,,БВИ?
,,БВИ?,Да
,,,Это призерство дает что ли?
,,Это призерство дает что ли?,Да)
,Это призерство дает что ли?,Да),"Хотелось в мфти на фпми, но 4 балла по матану не хватило до 80"
Это призерство дает что ли?,Да),"Хотелось в мфти на фпми, но 4 балла по матану не хватило до 80","Я сначала тоже туда хотел, понаблюдал за Пашей и передумал"
Да),"Хотелось в мфти на фпми, но 4 балла по матану не хватило до 80","Я сначала тоже туда хотел, понаблюдал за Пашей и передумал",А что не так с ПАДИИ?
,,,Ну там всех студентов кидают по уровню м+п+ мск ВШЭ ФКН
,,Ну там всех студентов кидают по уровню м+п+ мск ВШЭ ФКН,"в любом случае под весенний призыв не попадаем, а там можно и в мисис будет"
,,,Ну так живём один раз ведь😎
,,Ну так живём один раз ведь😎,Ты тоже на падии идёшь?
,,,Пати собирается на падии 😎
,,Пати собирается на падии 😎,"вместе поступим, вместе вылетим, один за всех и все за одного"
,,,"Опг «НТО»
В прошлом году было пати изумрудников
Половина изумрудного города отчислилась😢
Но мы стойкие
Знаю людей с нто которые на ис итмо собираются
Там вроде варик на кт перевестись есть"
,,,а никто не хочет в мск вшэ на ивт?
,,а никто не хочет в мск вшэ на ивт?,"Не, отмена"
,,,Отличный вариант для призеров нто-ПМИ МИФИ
,,Отличный вариант для призеров нто-ПМИ МИФИ,Призеров туда не берут
,Отличный вариант для призеров нто-ПМИ МИФИ,Призеров туда не берут,Рил?
,,,а с этим что не так?
,,а с этим что не так?,"Да, там низкоуровневую прогу изучают, плюс не в главном корпусе вышки"
,,,"Если иикс то да
Там 10 бюджетных и только победы"
,,,миэм тоже вроде неплох
,,миэм тоже вроде неплох,Ну тогда как будто МИСиС лучше
,,,Так что девочек с дизайна нельзя кадрить
,,Так что девочек с дизайна нельзя кадрить,а это весомо
,,,Там сообщество намного круче
,,,"Так мужики которые в 11, че куда лучше поступать?"
,,"Так мужики которые в 11, че куда лучше поступать?",А и желательно туда где учитывают призеорство за 10)
,,,Мтуси за призера нто мне звонили 40к степуху предлагали
,,,"ты очень умный или очень смелый - падии
у тебя есть работа или не хочешь париться - мисис
ты хочешь ржать над школьниками называя себя корпоратом - итмо
ты хочешь стипу 50к и перепоступить в норм место на платку - мтуси"
,,"ты очень умный или очень смелый - падии
у тебя есть работа или не хочешь париться - мисис
ты хочешь ржать над школьниками называя себя корпоратом - итмо
ты хочешь стипу 50к и перепоступить в норм место на платку - мтуси",Спасибо
,,,А в политех никто не хочет?)
,,А в политех никто не хочет?),если не сопьешься в первые полгода - считай выиграл в жизнь
,А в политех никто не хочет?),если не сопьешься в первые полгода - считай выиграл в жизнь,"Ладно. Вообще не думал, что все такого плохого мнения о Политехе)"
,,,упаси боже
,,упаси боже,По типу нгту?
,упаси боже,По типу нгту?,Политех Петра великого в СПб)
,,,Дгту возьмет?
,,Дгту возьмет?,сразу работать с зп 100к+
,Дгту возьмет?,сразу работать с зп 100к+,Готов работать за вино
,,,В синергию
,,,Блин а реально из норм вузов только в итмо за 10 учитывают?
,,Блин а реально из норм вузов только в итмо за 10 учитывают?,"вшэ падии учитывает, но непонятно, что будет в следующем году"
,Блин а реально из норм вузов только в итмо за 10 учитывают?,"вшэ падии учитывает, но непонятно, что будет в следующем году",А что там должно быть?
Блин а реально из норм вузов только в итмо за 10 учитывают?,"вшэ падии учитывает, но непонятно, что будет в следующем году",А что там должно быть?,вдруг поменяют список олимпиад
,,,Понял
,,,"в бауманку кстати можно с призерством на все с предметом информатика, кроме  ПМИ, ПИ, Комп Безопасность, Информационная безопасность автоматизированных систем"
,,"в бауманку кстати можно с призерством на все с предметом информатика, кроме  ПМИ, ПИ, Комп Безопасность, Информационная безопасность автоматизированных систем","ну если не пми/пи, то так себе идея"
,,,"пи - программная инженерия
можно еще на прикладную информатику или прикладную математику"
,,,В мечтах фкн начнет принимать приз ии
,,В мечтах фкн начнет принимать приз ии,Вроде как Соколов в прошлом году обещал
,,,Чтобы числануться после первой пары
,,Чтобы числануться после первой пары,хотя бы за сотку...
,,,"Можете, пожалуйста, объяснить  почему все так хейтят питеский политех? В рейтингах он вроде на уровне лишь чуть ниже итмо. Видимо, я что-то упускаю"
,,"Можете, пожалуйста, объяснить  почему все так хейтят питеский политех? В рейтингах он вроде на уровне лишь чуть ниже итмо. Видимо, я что-то упускаю",Тот же вопрос.
,,,Вопрос остался)
,,Вопрос остался),"Как мне кажется, там больше уклон на всякие производственные специальности/физику, а не на чистую математику/алгосы
Ну и люди после того, как взяли олимпиаду, стараются попасть в тот вуз, куда больше одимпиадников поступит -> больше вероятность, что учиться будешь с умными людьми"
,Вопрос остался),"Как мне кажется, там больше уклон на всякие производственные специальности/физику, а не на чистую математику/алгосы
Ну и люди после того, как взяли олимпиаду, стараются попасть в тот вуз, куда больше одимпиадников поступит -> больше вероятность, что учиться будешь с умными людьми","Может и так, я пока на ЕГЭ ориентируюсь, только 10 класс"
Вопрос остался),"Как мне кажется, там больше уклон на всякие производственные специальности/физику, а не на чистую математику/алгосы
Ну и люди после того, как взяли олимпиаду, стараются попасть в тот вуз, куда больше одимпиадников поступит -> больше вероятность, что учиться будешь с умными людьми","Может и так, я пока на ЕГЭ ориентируюсь, только 10 класс","Если ЕГЭ, то Политех как раз самое то
*Если наберёшь 285+ и ид 10, то можно и в более крутые пробовать"
"Как мне кажется, там больше уклон на всякие производственные специальности/физику, а не на чистую математику/алгосы
Ну и люди после того, как взяли олимпиаду, стараются попасть в тот вуз, куда больше одимпиадников поступит -> больше вероятность, что учиться будешь с умными людьми","Может и так, я пока на ЕГЭ ориентируюсь, только 10 класс","Если ЕГЭ, то Политех как раз самое то
*Если наберёшь 285+ и ид 10, то можно и в более крутые пробовать","Политех спбгу норм по идее варианты если олимпы не залетели
Там куча бюджетных мест"
